OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude
527,12418,CONIFEROUS,Juniperus,,,Juniper,20,40,40.00961596,-105.2729805
528,12471,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,30,50,40.00842565,-105.2729424
529,12481,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,20,30,40.00795019,-105.2729857
530,12539,CONIFEROUS,Picea,pungens,,Blue Spruce,20,60,40.00847054,-105.2739189
531,12540,CONIFEROUS,Abies,concolor,,White Fir,24,40,40.00831515,-105.273838
532,12548,CONIFEROUS,Picea,pungens,,Blue Spruce,10,8,40.00816124,-105.2730233
533,12382,DECIDUOUS,Morus,,,Mulberry,34,41,40.00981083,-105.2721575
534,12389,DECIDUOUS,Sorbus,,,Mountain-ash,20,20,40.01030059,-105.2723206
535,12396,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,18,35,40.01019601,-105.2730882
536,12905,CONIFEROUS,Picea,pungens,,Blue Spruce,10,25,40.00932499,-105.2757151
537,12907,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,12,20,40.00927346,-105.2757147
538,12911,DECIDUOUS,Prunus,,,Flowering fruit trees,16,25,40.00906011,-105.2742602
539,12917,DECIDUOUS,Quercus,muehlenbergii,,Chinkapin Oak,6,12,40.00873431,-105.27481
540,12931,DECIDUOUS,Crataegus,laevigatga,,English Hawthorn,16,35,40.01034114,-105.2746783
541,12683,DECIDUOUS,Acer,saccharinum,,Silver Maple,30,45,40.00823857,-105.2746552
542,12686,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,16,18,40.00832786,-105.274575
543,12724,CONIFEROUS,Juniperus,,,Juniper,16,35,40.00808083,-105.2744664
544,12729,CONIFEROUS,Picea,pungens,,Blue Spruce,20,45,40.00815295,-105.2745159
545,12736,DECIDUOUS,Malus,,,Apple,16,20,40.00815675,-105.2713192
546,12747,DECIDUOUS,Tilia,americana,,American Linden,16,40,40.00777854,-105.273189
547,12748,DECIDUOUS,Tilia,americana,,American Linden,24,45,40.00779279,-105.2729322
548,12751,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,40,47,40.00934525,-105.2709832
549,12790,DECIDUOUS,Quercus,robur,,English Oak,35,39,40.00909445,-105.2714505
550,12801,DECIDUOUS,Acer,saccharum,,Sugar Maple,30,40,40.00902436,-105.2738561
551,12818,CONIFEROUS,Picea,pungens,,Blue Spruce,16,40,40.0081444,-105.2713433
552,12850,CONIFEROUS,Tsuga,,,Hemlock,10,30,40.00774684,-105.2730264
553,12860,CONIFEROUS,Thuja,,,Arborvitae,25,40,40.00917448,-105.2708319
554,12886,CONIFEROUS,Abies,concolor,,White Fir,10,40,40.00934782,-105.2717899
555,12887,CONIFEROUS,Abies,concolor,,White Fir,5,12,40.00936023,-105.2714776
556,12892,CONIFEROUS,Abies,concolor,,White Fir,12,30,40.00901824,-105.2713731
557,12938,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,20,35,40.01032915,-105.2747372
558,12942,DECIDUOUS,Prunus,,,Flowering fruit trees,8,20,40.01004946,-105.2748248
559,12964,CONIFEROUS,Picea,pungens,,Blue Spruce,8,15,40.00715822,-105.2728678
560,12965,CONIFEROUS,Picea,pungens,,Blue Spruce,20,48,40.00952181,-105.2735323
561,13233,CONIFEROUS,Picea,pungens,,Blue Spruce,16,45,40.01006561,-105.2763499
562,13235,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,10,30,40.01002353,-105.2756094
563,12983,CONIFEROUS,Juniperus,,,Juniper,15,20,40.00924652,-105.2741666
564,12987,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00708303,-105.2728734
565,12996,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.0073353,-105.2729839
566,13004,DECIDUOUS,Cercis,canadensis,,Redbud,12,24,40.00748494,-105.2726346
567,13010,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00709291,-105.2729136
568,13013,DECIDUOUS,Catalpa,speciosa,,Western Catalpa,6,8,40.00950747,-105.2736079
569,13015,DECIDUOUS,Acer,saccharum,,Sugar Maple,10,12,40.00951402,-105.2737386
570,13025,DECIDUOUS,Acer,saccharinum,,Silver Maple,35,55,40.0098349,-105.273775
571,13432,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,25,40,40.00842441,-105.2745811
572,13444,DECIDUOUS,Hamemelis,,,Witch Hazel,10,10,40.00869725,-105.2746543
573,13448,DECIDUOUS,Quercus,bicolor,,Swamp White Oak,25,50,40.00886975,-105.2746608
574,13461,CONIFEROUS,Picea,pungens,,Blue Spruce,20,35,40.00851409,-105.2746153
575,13304,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,24,30,40.00809457,-105.2750665
576,13308,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,25,35,40.00894553,-105.2755845
577,13311,DECIDUOUS,Catalpa,speciosa,,Western Catalpa,38,75,40.00914148,-105.2756892
578,14145,DECIDUOUS,Hydrangea,paniculata,Grandiflora,Panicle hydrangea,6,6,40.01007894,-105.2757049
579,13694,DECIDUOUS,Quercus,,,Oak,5,12,40.0099872,-105.2753476
580,13664,DECIDUOUS,Magnolia,,,Magnolia,5,15,40.00969418,-105.2737774
581,13822,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,3,10,40.01026008,-105.2731546
582,13829,DECIDUOUS,Liquidambar,,,Sweetgum,15,20,40.01033175,-105.2739204
583,13832,DECIDUOUS,Crataegus,,,Hawthorne,15,20,40.0103099,-105.2741753
584,14158,DECIDUOUS,Cercis,canadensis,,Redbud,6,6,40.00990841,-105.2754623
585,15605,DECIDUOUS,Quercus,macrocarpa,,Bur Oak,3,8,40.00798267,-105.2728161
586,15677,DECIDUOUS,Acer,grandidentatum,Rocky Mtn Glow,Big Tooth Maple,,10,40.00836085,-105.2747255
587,15678,DECIDUOUS,Platanus,xna,,American Sycamore ,,12,40.00845141,-105.2737588
588,10142,DECIDUOUS,Cercis,canadensis,,Redbud,4,10,40.00924397,-105.2726198
589,10147,DECIDUOUS,Platanus,,,American plane tree,5,12,40.00904031,-105.2724954
590,10153,DECIDUOUS,Ulmus,americana,,American Elm,48,79,40.00915105,-105.2729363
591,10157,DECIDUOUS,Malus,,,Apple,23,16,40.00931809,-105.2729028
592,10017,CONIFEROUS,Picea,pungens,,Blue Spruce,10,52,40.0088639,-105.2743717
593,10037,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,35,50,40.00896119,-105.2740145
594,10038,DECIDUOUS,Carpinus,,,Hornbeam,25,21,40.00869213,-105.2744238
595,10048,DECIDUOUS,Betula,,,Birch,31,29,40.00859304,-105.2753991
596,10050,DECIDUOUS,Quercus,rubra,,Northern Red Oak,35,62,40.00880788,-105.2755374
597,10053,DECIDUOUS,Crataegus,,,Hawthorne,15,13,40.00890448,-105.2753711
