,OBJECTID,Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
68,69,12969,CONIFEROUS,Juniperus,Unknown,Juniper,10.0,25.0,40.00960249,-105.2740947
69,70,12972,CONIFEROUS,Juniperus,Unknown,Juniper,10.0,30.0,40.00992066,-105.273691
70,71,13216,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,12.0,30.0,40.00847436,-105.2752997
71,72,13229,CONIFEROUS,Picea,pungens,Blue Spruce,8.0,35.0,40.00990088,-105.2762624
72,73,12976,CONIFEROUS,Juniperus,Unknown,Juniper,16.0,25.0,40.00952921,-105.2733925
73,74,12993,DECIDUOUS,Rhamnus,cathartica,Buckthorn,8.0,12.0,40.00740665,-105.2726831
74,75,13004,DECIDUOUS,Cercis,canadensis,Redbud,12.0,24.0,40.00747921,-105.2726409
75,76,13008,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00714774,-105.2729186
76,77,13011,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00708506,-105.2729232
77,78,13019,DECIDUOUS,Acer,saccharinum,Silver Maple,30.0,40.0,40.00948727,-105.2740096
78,79,13433,DECIDUOUS,Acer,platanoides,Norway Maple,30.0,45.0,40.008496,-105.2745297
79,80,13438,DECIDUOUS,Robinia,Unknown,Locust,25.0,50.0,40.00853913,-105.2748299
80,81,13441,DECIDUOUS,Castanea,Unknown,American Chestnut,15.0,30.0,40.00872321,-105.2748855
81,82,13449,DECIDUOUS,Quercus,rubra,Northern Red Oak,20.0,50.0,40.00886687,-105.2747493
82,83,13453,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,30.0,40.0,40.00885565,-105.2747881
83,84,13454,DECIDUOUS,Populus,tremuloides,Aspen,10.0,4.0,40.00885314,-105.2745104
84,85,13458,CONIFEROUS,Picea,pungens,Blue Spruce,30.0,45.0,40.00843395,-105.2744883
85,86,13466,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,20.0,50.0,40.00875337,-105.2744927
86,87,13469,CONIFEROUS,Picea,pungens,Blue Spruce,20.0,60.0,40.00882264,-105.2744251
87,88,13470,CONIFEROUS,Picea,pungens,Blue Spruce,15.0,45.0,40.00885663,-105.274359
88,89,13471,CONIFEROUS,Picea,pungens,Blue Spruce,15.0,30.0,40.00889677,-105.2743738
89,90,13481,CONIFEROUS,Taxodium,Unknown,Bald Cypress,20.0,40.0,40.0087781,-105.274628
90,91,13306,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00817646,-105.275106
91,92,13699,DECIDUOUS,Acer,saccharum,Sugar Maple,4.0,8.0,40.00807764,-105.2725316
92,93,13798,DECIDUOUS,Fraxinus,Unknown,Ash,12.0,35.0,40.01006775,-105.2732879
93,94,13806,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,15.0,30.0,40.0099389,-105.2732959
94,95,13825,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,6.0,12.0,40.01036046,-105.2732605
95,96,10148,DECIDUOUS,Quercus,rubra,Northern Red Oak,25.0,36.0,40.00936978,-105.2724634
96,97,10019,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,28.0,40.00890334,-105.2743172
97,98,10034,DECIDUOUS,Catalpa,Unknown,Catalpa,11.0,40.0,40.00893921,-105.2738912
98,99,10035,DECIDUOUS,Quercus,rubra,Northern Red Oak,37.0,64.0,40.00874625,-105.2743363
99,100,10057,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,20.0,45.0,40.00896259,-105.2751339
100,101,10058,DECIDUOUS,Quercus,palustris,Pin Oak,32.0,74.0,40.00903268,-105.275058
101,102,10112,CONIFEROUS,Pinus,strobus,Eastern White Pine,32.0,55.0,40.00933534,-105.2725896
102,103,10113,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,37.0,40.00930873,-105.2729914
103,104,10122,DECIDUOUS,Quercus,macrocarpa,Bur Oak,30.0,41.0,40.0084635,-105.2718379
104,105,10127,DECIDUOUS,Fraxinus,americana,White Ash,32.0,38.0,40.00851066,-105.2726376
105,106,10133,DECIDUOUS,Acer,saccharum,Sugar Maple,20.0,28.0,40.00884845,-105.2725864
106,107,10140,DECIDUOUS,Acer,saccharinum,Silver Maple,40.0,92.0,40.00907207,-105.2725929
107,108,10141,DECIDUOUS,Acer,saccharinum,Silver Maple,40.0,89.0,40.00907474,-105.2726974
108,109,10281,DECIDUOUS,Quercus,rubra,Northern Red Oak,30.0,42.0,40.00954381,-105.2748896
109,110,10289,DECIDUOUS,Acer,saccharum,Sugar Maple,24.0,27.0,40.0098037,-105.2750339
110,111,10327,DECIDUOUS,Quercus,rubra,Northern Red Oak,20.0,30.0,40.00993895,-105.2754564
111,112,10331,DECIDUOUS,Acer,rubrum,Red Maple,35.0,36.0,40.00994639,-105.27524
112,113,10339,DECIDUOUS,Acer,platanoides,Norway Maple,40.0,45.0,40.01028369,-105.2755597
113,114,10341,DECIDUOUS,Malus,Unknown,Apple,16.0,30.0,40.01027753,-105.275511
114,115,10343,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,20.0,46.0,40.01027616,-105.2753224
115,116,10463,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,25.0,56.0,40.00951465,-105.2757698
116,117,10471,CONIFEROUS,Pinus,nigra,Austrian Pine,16.0,30.0,40.01030799,-105.2758599
117,118,10734,DECIDUOUS,Fraxinus,americana,White Ash,35.0,84.0,40.00903846,-105.2735925
118,119,10746,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.0096504,-105.2744232
119,120,10749,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.00941492,-105.274279
120,121,10752,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.00944042,-105.2743351
121,122,10782,DECIDUOUS,Fraxinus,americana,White Ash,40.0,65.0,40.01005829,-105.2743937
122,123,10788,DECIDUOUS,Fraxinus,americana,White Ash,12.0,30.0,40.01014119,-105.2739437
123,124,10801,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.01000158,-105.2737961
124,125,10803,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.01006235,-105.2735759
125,126,11193,DECIDUOUS,Syringa,Unknown,Tree Lilac,15.0,19.0,40.00807611,-105.2722326
126,127,11196,DECIDUOUS,Rhamnus,Unknown,Buckthorn,12.0,15.0,40.0081816,-105.2722721
127,128,11199,DECIDUOUS,Quercus,bicolor,Swamp White Oak,9.0,17.0,40.0082989,-105.2725096
128,129,11211,CONIFEROUS,Pinus,nigra,Austrian Pine,17.0,45.0,40.00832581,-105.2722404
129,130,11416,DECIDUOUS,Fraxinus,americana,White Ash,32.0,38.0,40.00851724,-105.2728349
130,131,11673,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,30.0,40.00902692,-105.2719714
131,132,11675,CONIFEROUS,Taxodium,Unknown,Bald Cypress,12.0,22.0,40.0090453,-105.271855
132,133,11660,DECIDUOUS,Fraxinus,americana,White Ash,35.0,60.0,40.01022083,-105.2748442
133,134,12332,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,25.0,50.0,40.00994811,-105.2723805
